"Level","Manufacturer P/N","Manufacturer Name","Part Type","Description","Quantity","Designator"
"0","gi-myo-assemly-arm-hand","GI","MyoRobotics Products","13 motor Robotic arm with Myo-Bones and Roboy Hand","1",""
"1","MyoShoulder 'MyoArm'","MyoRobotics Consortium","MyoRobotics Products","MyoArm inspired shoulder","1","joint
"
"2","Muscle","MyoRobotics Consortium","Muscles","","9",""
"3","JFM-0304-03","Igus","Bearings","Igus Gleitlager JFM 0304-03 (Guide-Pulley)","2","Cross-Guide"
"3","JFM-0304-05","Igus","Bearings","Igus Gleitlager JFM 0304-05 (Guide-Roller)","2",""
"3","JFM-0608-06","Igus","Bearings","Igus Gleitlager JFM 0608-06 (Motor Reel)","1","Tendon-Spooling"
"3","MCM-12-02","Igus","Bearings","Igus Cliplager MCM-12-02","2","Displacement-Assembly"
"3","2534-294","Wegertseder GmbH - Schrauben Shop","Screws, Bolts and Rods","Zylinderkopfschraube M 3x25","1",""
"3","4001-205","Wegertseder GmbH - Schrauben Shop","Screws, Bolts and Rods","Selbstschneidende Schraube(Blechschraube)","2",""
"3","2534-236","Wegertseder GmbH - Schrauben Shop","Screws, Bolts and Rods","Zylinderkopfschraube M 2x8","2","Cross-Guide"
"3","1160-043","Wegertseder GmbH - Schrauben Shop","Screws, Bolts and Rods","Senkkopfschraube M 2,5x10","3",""
"3","1018-082","Wegertseder GmbH - Schrauben Shop","Screws, Bolts and Rods","Zylinderstift 3x24","1","Cross-Guide"
"3","1018-076","Wegertseder GmbH - Schrauben Shop","Screws, Bolts and Rods","Zylinderstift 3x18","1",""
"3","812 000 020.800","Kerb Konus","Nuts, rings, inserts","Brass Insert M2","2","Cross-Guide"
"3","852 000 030.800","Kerb Konus","Nuts, rings, inserts","Brass Insert M3","3",""
"3","M12 main body allConfig CE - new","MyoRobotics Consortium","MyoCAD","body","1",""
"3","M11 main body cover","Shapeways ","MyoCAD","body cover","1",""
"3","M11 cable pulley horizontal","Shapeways ","MyoCAD","cable pulley","1",""
"3","M11 cross guide cover","Shapeways ","MyoCAD","cross guide cover","1","Cross-Guide"
"3","M11 cross guide roller - new","Shapeways ","MyoCAD","cross guide roller","1","Cross-Guide"
"3","D-311","Gutekunst Federn","Springs","Feder D-311","1","Displacement-Assembly"
"3","myoMotorDriver"," Embedded Robotic Systems LLP","Boards","Motor Driver Board","1",""
"3","2534-288","Wegertseder GmbH - Schrauben Shop","Screws, Bolts and Rods","Zylinderkopfschraube M3x18","1",""
"3","Spring Displacement Sensor Board"," Embedded Robotic Systems LLP","Boards","Sensor  Board","1","Displacement-Assembly"
"3","MyoMuscle Assembly","GI","Labour","","0.75",""
"3","Cable-Displacement-Sensor","GI","Tendon, Rope, Cables","Displacement Sensor Cable ","1","Displacement-Assembly"
"4","SHR-06V-S-B","JST","Tendon, Rope, Cables","Connector Male - 1.0mm pitch/Disconnectable Crimp style connectors, with protrusions","2",""
"4","SH3-SH3-28150","JST","Tendon, Rope, Cables","Cable, crimped, 150mm  for JST SH3 series","6",""
"4","MyoMuscle Assembly","GI","Labour","","0.25",""
"3","458375","Maxon","Motors","Maxon Motor-Getriebe-Encoder-Kombination","1",""
"3","ISO 7379-4-M3-20","Ganter Griff","Screws, Bolts and Rods","ISO 7379 Passschrauben mit Bund Stahl, Festigkeit 12.9","2",""
"3","Complete pulley spring displacement shaft without spring","GI","Machined parts","Complete assembly of pulley, shaft, magnetic strip, threaded rod, but NO spring","1",""
